"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Adpgk",8.05954487848524e-228,3.34852199397267,0.921,0.025,2.60202406401896e-223,"Neutrophil 2","Adpgk","up",1716.18511554211,"Adpgk","72141"
"Ngp",1.6592766556759e-227,7.11867968409028,0.921,0.025,5.35697468284964e-223,"Neutrophil 2","Ngp","up",3643.3265684463,"Ngp","18054"
"1700047M11Rik",6.07161872440358e-218,1.40416964357323,0.698,0.009,1.9602221051737e-213,"Neutrophil 2","1700047M11Rik","up",687.730791715365,"1700047M11Rik","67330"
"Cd177",1.01843590875984e-212,3.23373033927996,0.984,0.036,3.28802033143114e-208,"Neutrophil 2","Cd177","up",1544.90630613622,"Cd177","68891"
"Serpinb1a",1.33885533163284e-194,1.67837746748642,0.651,0.01,4.32249443817662e-190,"Neutrophil 2","Serpinb1a","up",731.8184543007,"Serpinb1a","66222"
"B230208H11Rik",5.01430286970018e-184,1.33689646214025,0.571,0.007,1.6188676814827e-179,"Neutrophil 2","B230208H11Rik","up",550.374878717954,"B230208H11Rik","320273"
"Camp",6.96265420908957e-150,6.47860286675163,0.825,0.039,2.24789291140457e-145,"Neutrophil 2","Camp","up",2157.79486086546,"Camp","12796"
"Ly6g",7.83516223951549e-150,3.62750312016045,1,0.069,2.52958212902758e-145,"Neutrophil 2","Ly6g","up",1207.76549911848,"Ly6g","546644"
"Rflnb",4.53762792190123e-148,1.98577828721469,0.921,0.05,1.46497317458581e-143,"Neutrophil 2","Rflnb","up",653.098314457139,"Rflnb","76566"
"Fmo5",4.39593379145382e-147,1.48278378884717,0.587,0.014,1.41922722457086e-142,"Neutrophil 2","Fmo5","up",484.302349301096,"Fmo5","14263"
"Ccdc125",9.40636432149843e-146,1.23498889883442,0.635,0.018,3.03684472119577e-141,"Neutrophil 2","Ccdc125","up",399.585201811705,"Ccdc125","76041"
"Scrg1",2.36170070614292e-132,1.12053129932368,0.524,0.012,7.62475072978241e-128,"Neutrophil 2","Scrg1","up",327.978942387436,"Scrg1","20284"
"Golim4",2.03152953700157e-128,2.2128868872821,0.778,0.04,6.55879311020958e-124,"Neutrophil 2","Golim4","up",627.66267225067,"Golim4","73124"
"Gpr27",5.28723503231796e-125,0.633151119099856,0.349,0.003,1.70698383018385e-120,"Neutrophil 2","Gpr27","up",174.607555800893,"Gpr27","14761"
"Ppp1r42",5.57174758563127e-125,1.2415386412788,0.508,0.012,1.79883870802105e-120,"Neutrophil 2","Ppp1r42","up",342.320845529165,"Ppp1r42","69312"
"Itgb2l",8.6256451966321e-123,0.799493429121754,0.476,0.01,2.78478955173267e-118,"Neutrophil 2","Itgb2l","up",216.407575888779,"Itgb2l","16415"
"Chil5",1.20293972949001e-121,0.611866914022794,0.317,0.002,3.8836909166585e-117,"Neutrophil 2","Chil5","up",164.008276866017,"Chil5","229687"
"ENSMUSG00000086425",1.30753854914798e-121,0.531430780625903,0.317,0.002,4.22138820592427e-117,"Neutrophil 2","ENSMUSG00000086425","up",142.403409934877,"F730016J06Rik","100504177"
"Abca13",4.22709367808667e-119,2.3210619506082,0.667,0.03,1.36471719397028e-114,"Neutrophil 2","Abca13","up",608.544734033445,"Abca13","268379"
"Mgst2",7.81160440060782e-119,0.995303971384832,0.492,0.012,2.52197648073624e-114,"Neutrophil 2","Mgst2","up",260.341319092092,"Mgst2","211666"
"Padi4",6.56905224524213e-116,2.02247187109297,0.889,0.065,2.12081851737642e-111,"Neutrophil 2","Padi4","up",515.396908918424,"Padi4","18602"
"Cdadc1",6.42367714674917e-112,1.67351322118048,0.556,0.02,2.07388416682797e-107,"Neutrophil 2","Cdadc1","up",411.093806307699,"Cdadc1","71891"
"Syne1",1.78230825185463e-111,4.38938132940101,1,0.109,5.75418219111269e-107,"Neutrophil 2","Syne1","up",1073.7597731847,"Syne1","64009"
"Bmx",6.39769903001277e-111,1.79256173250898,0.81,0.053,2.06549713183962e-106,"Neutrophil 2","Bmx","up",436.217475708382,"Bmx","12169"
"Erg",4.49008150038698e-110,0.908503374243133,0.397,0.007,1.44962281239994e-105,"Neutrophil 2","Erg","up",219.312833893435,"Erg","13876"
"Aff2",1.06490299176979e-105,2.05413851264658,0.508,0.017,3.43803930892876e-101,"Neutrophil 2","Aff2","up",475.176042131706,"Aff2","14266"
"Asb7",2.48605772748544e-103,1.10624449265564,0.603,0.028,8.02623737318676e-99,"Neutrophil 2","Asb7","up",249.870992786129,"Asb7","117589"
"Tkt",9.97807084905865e-103,2.26195606554907,0.968,0.103,3.22142017361859e-98,"Neutrophil 2","Tkt","up",507.771852449205,"Tkt","21881"
"Rab3d",4.4331059206157e-102,0.834724824875929,0.46,0.014,1.43122824647078e-97,"Neutrophil 2","Rab3d","up",186.137142648955,"Rab3d","19340"
"Sntb1",4.8947418107298e-102,1.48941159498529,0.365,0.007,1.58026739359412e-97,"Neutrophil 2","Sntb1","up",331.979656874304,"Sntb1","20649"
"Tinagl1",1.76060237925563e-101,0.69456895410654,0.397,0.009,5.6841047814268e-97,"Neutrophil 2","Tinagl1","up",153.925565453021,"Tinagl1","94242"
