"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Steap4",1.42749482513936e-13,2.59658569792217,0.551,0.048,4.60866704296241e-09,"Neutrophil 1","Steap4","up",49.8423119873199,"Steap4","117167"
"Taldo1",1.47055280887565e-13,-0.749130945051639,0.67,0.984,4.74767974345504e-09,"Neutrophil 1","Taldo1","down",14.357551391932,"Taldo1","21351"
"Wbp1l",1.53571166059294e-13,-0.512257096056332,0.188,0.603,4.95804509622432e-09,"Neutrophil 1","Wbp1l","down",9.79551046172664,"Wbp1l","226178"
"Cass4",1.58709282067796e-13,1.88421259286634,0.731,0.397,5.12392917155878e-09,"Neutrophil 1","Cass4","up",35.9683828741896,"Cass4","320664"
"H2-Q4",1.70444954297417e-13,1.6269755353895,0.581,0.127,5.50281534949211e-09,"Neutrophil 1","H2-Q4","up",30.9418304840457,"H2-Q4","15015"
"Myl6",1.91178780392646e-13,-0.686785259513141,0.804,1,6.17220692497657e-09,"Neutrophil 1","Myl6","down",12.9824455573406,"Myl6","17904"
"Cbl",2.17579602623186e-13,-0.685845731661657,0.337,0.825,7.02455747068956e-09,"Neutrophil 1","Cbl","down",12.8759673702021,"Cbl","12402"
"Uqcrh",2.46660804641387e-13,-0.593404269159498,0.219,0.667,7.96344407784716e-09,"Neutrophil 1","Uqcrh","down",11.0660426994541,"Uqcrh","66576"
"Bcl2a1d",2.66491668086442e-13,2.20893678171215,0.562,0.095,8.60368350417077e-09,"Neutrophil 1","Bcl2a1d","up",41.0223315511952,"Bcl2a1d","12047"
"Gsn",2.71602452189814e-13,-0.586864873036614,0.216,0.651,8.76868516894815e-09,"Neutrophil 1","Gsn","down",10.8875634666681,"Gsn","227753"
"Sri",2.85990116117272e-13,-0.738694180788875,0.321,0.81,9.23319089884614e-09,"Neutrophil 1","Sri","down",13.6661829850374,"Sri","109552"
"Cd9",2.93853938072584e-13,1.24547582590061,0.952,0.952,9.48707439067337e-09,"Neutrophil 1","Cd9","up",23.0080928578003,"Cd9","12527"
"Smarca2",3.03887010011469e-13,-0.678241554400829,0.151,0.508,9.81099211822028e-09,"Neutrophil 1","Smarca2","down",12.5066131367825,"Smarca2","67155"
"Sema4d",3.63920307674652e-13,1.39170385663991,0.865,0.81,1.17491671332762e-08,"Neutrophil 1","Sema4d","up",25.4117935809594,"Sema4d","20354"
"Timm10b",3.95752807169402e-13,-0.566827584167498,0.252,0.73,1.27768793794642e-08,"Neutrophil 1","Timm10b","down",10.3024476488305,"Timm10b","14356"
"Ap1g1",4.02187029681759e-13,-0.675635947966762,0.196,0.603,1.29846082532756e-08,"Neutrophil 1","Ap1g1","down",12.2692117818271,"Ap1g1","11765"
"Nlrp12",4.1786194091073e-13,-0.548489668888553,0.124,0.46,1.34906727623029e-08,"Neutrophil 1","Nlrp12","down",9.93932789945402,"Nlrp12","378425"
"Notch1",4.47099050456431e-13,-0.519426602378691,0.204,0.635,1.44345928439859e-08,"Neutrophil 1","Notch1","down",9.37753996658857,"Notch1","18128"
"Ncor1",4.51445397643426e-13,-0.83459238534962,0.615,0.968,1.4574914662918e-08,"Neutrophil 1","Ncor1","down",15.0593549223373,"Ncor1","20185"
"Akap13",5.20512324954598e-13,-0.823132283598631,0.57,0.984,1.68047404111592e-08,"Neutrophil 1","Akap13","down",14.7353888580429,"Akap13","75547"
"Ly6e",5.41966027195787e-13,2.11853920049779,0.722,0.524,1.7497373188016e-08,"Neutrophil 1","Ly6e","up",37.8396842960659,"Ly6e","17069"
"Adss",5.54193159540918e-13,-0.502696101775463,0.084,0.365,1.78921261557786e-08,"Neutrophil 1","Adss","down",8.96754805393388,"Adss","11566"
"St3gal6",5.6859030331565e-13,1.73801975105991,0.677,0.238,1.83569379425458e-08,"Neutrophil 1","St3gal6","up",30.9597946594834,"St3gal6","54613"
"Rtf1",6.22148746013465e-13,-0.5493525176291,0.166,0.54,2.00860722650447e-08,"Neutrophil 1","Rtf1","down",9.73630606638296,"Rtf1","76246"
"Lrrc25",8.02271490785733e-13,1.62561094939831,0.622,0.238,2.59013350800174e-08,"Neutrophil 1","Lrrc25","up",28.3977510558957,"Lrrc25","211228"
"Mxi1",8.34756494419608e-13,-0.863385770286162,0.27,0.714,2.69501134223371e-08,"Neutrophil 1","Mxi1","down",15.0481908973244,"Mxi1","17859"
"Braf",8.70695435693924e-13,-0.691170664405114,0.412,0.905,2.81104021413783e-08,"Neutrophil 1","Braf","down",12.0174715305233,"Braf","109880"
"Bcl2l11",8.88708883846208e-13,2.29377189538168,0.755,0.508,2.86919663149748e-08,"Neutrophil 1","Bcl2l11","up",39.835130642417,"Bcl2l11","12125"
"Cap1",9.72328986995713e-13,-0.683312994994581,0.816,0.984,3.13916413451566e-08,"Neutrophil 1","Cap1","down",11.8054101422212,"Cap1","12331"
"Ppp1r12a",1.07246642877506e-12,-0.68609981149982,0.754,1,3.46245786530029e-08,"Neutrophil 1","Ppp1r12a","down",11.7863042324019,"Ppp1r12a","17931"
"Oaz1",1.13653067133648e-12,-0.732916636467352,0.569,0.937,3.66928927240984e-08,"Neutrophil 1","Oaz1","down",12.5480332220324,"Oaz1","18245"
"Gm14963",1.25197785020393e-12,1.59786985816406,0.527,0.063,4.04201048938338e-08,"Neutrophil 1","Gm14963","up",27.2020382441282,"Gm14963","105246847"
"Esyt2",1.26567174293116e-12,-0.530449425199915,0.173,0.556,4.08622122205324e-08,"Neutrophil 1","Esyt2","down",9.02456795494196,"Esyt2","52635"
"Plscr1",1.30570043864076e-12,-0.840775134555117,0.121,0.429,4.21545386615169e-08,"Neutrophil 1","Plscr1","down",14.2779789984756,"Plscr1","22038"
"Trps1",1.3407133943697e-12,1.60174545490885,0.853,0.587,4.32849319372258e-08,"Neutrophil 1","Trps1","up",27.15833300062,"Trps1","83925"
"Gab3",1.39264679962811e-12,-0.746346036652698,0.043,0.238,4.49616019259936e-08,"Neutrophil 1","Gab3","down",12.6262769836621,"Gab3","210710"
"Arhgef3",1.42955377265779e-12,2.02472309165585,0.695,0.349,4.61531435502566e-08,"Neutrophil 1","Arhgef3","up",34.2002067017059,"Arhgef3","71704"
"Actr3",1.58814815747048e-12,-0.72512137742002,0.828,1,5.12733632639344e-08,"Neutrophil 1","Actr3","down",12.1719559321609,"Actr3","74117"
"Uba52",1.59860453081956e-12,-0.588619597777078,0.149,0.492,5.16109472775094e-08,"Neutrophil 1","Uba52","down",9.87676139463343,"Uba52","22186"
"4933432I03Rik",1.66941320084748e-12,1.71608247466933,0.63,0.222,5.3897005189361e-08,"Neutrophil 1","4933432I03Rik","up",28.7206839355509,"4933432I03Rik","71264"
"L1cam",1.68860399438418e-12,-0.558450724741185,0.144,0.492,5.45165799586932e-08,"Neutrophil 1","L1cam","down",9.33995488041731,"L1cam","16728"
"Snx10",1.69410140144991e-12,1.4877062771481,0.723,0.429,5.46940637458102e-08,"Neutrophil 1","Snx10","up",24.87669636819,"Snx10","71982"
"Atrx",1.72032865090341e-12,-0.607068777180603,0.194,0.587,5.55408104944165e-08,"Neutrophil 1","Atrx","down",10.1417806933904,"Atrx","22589"
"Kpna1",1.73450451515423e-12,-0.577689516820591,0.09,0.365,5.59984782717543e-08,"Neutrophil 1","Kpna1","down",9.64622565322219,"Kpna1","16646"
"Cd33",1.7506673929267e-12,-0.835597565164771,0.442,0.857,5.65202967806386e-08,"Neutrophil 1","Cd33","down",13.945008699052,"Cd33","12489"
"Mbd2",1.77919218114e-12,-0.993226817743171,0.477,0.921,5.74412195681048e-08,"Neutrophil 1","Mbd2","down",16.5595777742916,"Mbd2","17191"
"Parp9",1.84909728478133e-12,1.72500766477395,0.619,0.206,5.96981058391652e-08,"Neutrophil 1","Parp9","up",28.693718060777,"Parp9","80285"
"Sf3b2",2.60288242465942e-12,-0.553218122343749,0.254,0.714,8.40340590801294e-08,"Neutrophil 1","Sf3b2","down",9.01305379998488,"Sf3b2","319322"
"Alox5ap",2.73483616727175e-12,-0.702739146152134,0.688,1,8.82941856603685e-08,"Neutrophil 1","Alox5ap","down",11.4143049375703,"Alox5ap","11690"
"Atp5pb",2.79071892902771e-12,-0.611502148679705,0.251,0.698,9.00983606236595e-08,"Neutrophil 1","Atp5pb","down",9.92001036168526,"Atp5pb","11950"
"Ifih1",2.87685900375288e-12,2.32330411802395,0.619,0.222,9.28793929361616e-08,"Neutrophil 1","Ifih1","up",37.6188567227583,"Ifih1","71586"
"Csf3r",3.20272308834488e-12,1.11372264573571,0.95,0.984,1.03399914907214e-07,"Neutrophil 1","Csf3r","up",17.91385198186,"Csf3r","12986"
"Def6",3.42958436141148e-12,-0.500697028949067,0.132,0.46,1.1072413110817e-07,"Neutrophil 1","Def6","down",8.01927578903864,"Def6","23853"
"Rnf19b",3.52984405308653e-12,1.61007947170162,0.7,0.444,1.13961015253898e-07,"Neutrophil 1","Rnf19b","up",25.7409997104072,"Rnf19b","75234"
"Tlr4",3.81148214343482e-12,1.8074487294039,0.736,0.492,1.23053701000793e-07,"Neutrophil 1","Tlr4","up",28.757675059154,"Tlr4","21898"
"Wdr26",3.83702032572351e-12,-0.654959257915172,0.384,0.873,1.23878201215984e-07,"Neutrophil 1","Wdr26","down",10.4164504257479,"Wdr26","226757"
"F630028O10Rik",3.96853795716181e-12,-1.02546647450535,0.487,0.889,1.28124247946969e-07,"Neutrophil 1","F630028O10Rik","down",16.274425064854,"F630028O10Rik","100038363"
