"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Rab11fip1",2.54764058526091e-87,-0.776911101548964,0.414,0.596,8.22505762951485e-83,"M2-like 1","Rab11fip1","down",146.841929788563,"Rab11fip1","75767"
"Trps1",1.19060830031152e-86,-0.66467649097517,0.913,0.924,3.84387889755573e-82,"M2-like 1","Trps1","down",124.60390782037,"Trps1","83925"
"Slc31a2",1.23050390187942e-86,-0.582668373018202,0.616,0.699,3.97268184721771e-82,"M2-like 1","Slc31a2","down",109.211010936166,"Slc31a2","20530"
"Gpx1",1.551351372091e-85,0.504800388281957,0.975,0.948,5.00853790479578e-81,"M2-like 1","Gpx1","up",93.3367076331232,"Gpx1","14775"
"Slfn8",6.67118449259767e-85,-0.619223671446404,0.725,0.8,2.15379191343516e-80,"M2-like 1","Slfn8","down",113.590128649659,"Slfn8","276950"
"Cadm1",1.34656783153068e-83,0.549710124090346,0.527,0.308,4.34739424409679e-79,"M2-like 1","Cadm1","up",99.1867514808368,"Cadm1","54725"
"Zc3h12c",5.20064328016583e-83,-0.70398865387714,0.361,0.543,1.67902768300154e-78,"M2-like 1","Zc3h12c","down",126.072697458488,"Zc3h12c","244871"
"Zfas1",1.58386855118482e-82,-0.578878905778332,0.48,0.628,5.11351961750018e-78,"M2-like 1","Zfas1","down",103.022933745612,"Zfas1","68949"
"Hmox1",5.32920449611528e-82,1.40541307284041,0.853,0.708,1.72053367157082e-77,"M2-like 1","Hmox1","up",248.415780064856,"Hmox1","15368"
"Pid1",6.11580871279012e-82,-0.59629192510917,0.972,0.961,1.97448884292429e-77,"M2-like 1","Pid1","down",105.316330040918,"Pid1","98496"
"Mmp14",4.81566043207471e-81,-0.50742875918196,0.829,0.84,1.55473597049532e-76,"M2-like 1","Mmp14","down",88.5743089226036,"Mmp14","17387"
"Ell2",2.14576917219258e-80,-0.686064559003573,0.737,0.805,6.92761577242374e-76,"M2-like 1","Ell2","down",118.730985274114,"Ell2","192657"
"Nos2",7.00117507974721e-80,-0.52864315388942,0.032,0.175,2.26032937449639e-75,"M2-like 1","Nos2","down",90.8623243586404,"Nos2","18126"
"Epsti1",9.41477401697835e-80,-0.607945926941314,0.781,0.819,3.03955979138146e-75,"M2-like 1","Epsti1","down",104.312680946544,"Epsti1","108670"
"Oas3",1.28666517987101e-79,-0.542783849006142,0.631,0.744,4.15399853321354e-75,"M2-like 1","Oas3","down",92.962487017216,"Oas3","246727"
"Prdx1",2.34868640098515e-78,0.662585998498495,0.95,0.905,7.58273404558056e-74,"M2-like 1","Prdx1","up",111.556571947459,"Prdx1","18477"
"Spp1",1.78982998822097e-77,1.880309469928,0.606,0.42,5.77846611697139e-73,"M2-like 1","Spp1","up",312.76047376381,"Spp1","20750"
"Slfn5",1.90101458084471e-77,-0.568564475206718,0.908,0.916,6.13742557425713e-73,"M2-like 1","Slfn5","down",94.5376637711355,"Slfn5","327978"
"Cers6",3.1337994606299e-77,-0.633517964611034,0.928,0.921,1.01174715586436e-72,"M2-like 1","Cers6","down",105.021090882685,"Cers6","241447"
"Phf11a",3.41353456240763e-77,-0.503042058695083,0.286,0.463,1.1020596334733e-72,"M2-like 1","Phf11a","down",83.348508434693,"Phf11a","219131"
"9030624G23Rik",3.68121905646936e-77,-0.765608124614932,0.091,0.256,1.18848157238113e-72,"M2-like 1","9030624G23Rik","down",126.795003013127,"9030624G23Rik","66808"
"ENSMUSG00000106734",1.03150056749127e-76,-0.500751837721461,0.585,0.708,3.33019958214558e-72,"M2-like 1","ENSMUSG00000106734","down",82.4152870081273,"Gm20559","330256"
"Cd40",1.30995087309401e-76,-0.616342835775227,0.477,0.642,4.229176393784e-72,"M2-like 1","Cd40","down",101.292320610886,"Cd40","21939"
"Oasl1",4.04093504573703e-76,-0.68186924854894,0.73,0.806,1.3046158795162e-71,"M2-like 1","Oasl1","down",111.293084729777,"Oasl1","231655"
"Pdpn",1.13150631801291e-75,0.525904862159597,0.5,0.293,3.65306814770468e-71,"M2-like 1","Pdpn","up",85.2954442154202,"Pdpn","14726"
"Gbp5",1.25237749884183e-75,-0.889180990722303,0.304,0.491,4.04330075501086e-71,"M2-like 1","Gbp5","down",144.124217069703,"Gbp5","229898"
"Zup1",1.3590747637306e-75,-0.567121076478994,0.618,0.716,4.38777287470426e-71,"M2-like 1","Zup1","down",91.8762911001613,"Zup1","72580"
"Ccl3",2.52174015723688e-74,-0.970604015793553,0.57,0.674,8.14143809763928e-70,"M2-like 1","Ccl3","down",154.407559226725,"Ccl3","20302"
"Sdc3",3.12361538069028e-74,0.549233548603882,0.928,0.883,1.00845922565586e-69,"M2-like 1","Sdc3","up",87.2567051800535,"Sdc3","20970"
"Slamf7",4.00009792600994e-74,-0.873202868135106,0.464,0.58,1.29143161541231e-69,"M2-like 1","Slamf7","down",138.509726764948,"Slamf7","75345"
"Cd72",1.44727192215634e-73,-0.956442218631199,0.509,0.608,4.67251740068174e-69,"M2-like 1","Cd72","down",150.483437009533,"Cd72","12517"
"Slpi",2.01850890805483e-73,-1.02481873473772,0.279,0.441,6.51675600965502e-69,"M2-like 1","Slpi","down",160.900635206443,"Slpi","20568"
"Clec4a2",2.41977203106381e-73,-0.554958722037124,0.676,0.773,7.8122340022895e-69,"M2-like 1","Clec4a2","down",87.0301143288647,"Clec4a2","26888"
"Gbp3",3.03449266590348e-73,-0.501670723755452,0.351,0.526,9.79685957186938e-69,"M2-like 1","Gbp3","down",78.559783941414,"Gbp3","55932"
"H2-Q6",4.63137092474624e-73,-0.544839255200796,0.597,0.692,1.49523810305432e-68,"M2-like 1","H2-Q6","down",85.0894538923942,"H2-Q6","110557"
"Fnbp1l",1.23318642838622e-72,-0.608015148055976,0.352,0.513,3.98134238404491e-68,"M2-like 1","Fnbp1l","down",94.3604045954084,"Fnbp1l","214459"
