"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Stfa3",0,2.63321195981799,0.322,0.015,0,"M2-like 2","Stfa3","up",Inf,"Stfa3","20863"
"Ptges",0,1.46088860897278,0.758,0.185,0,"M2-like 2","Ptges","up",Inf,"Ptges","64292"
"Sdc1",7.7759857589237e-300,0.988398491400833,0.729,0.166,2.51047700226852e-295,"M2-like 2","Sdc1","up",670.472337607013,"Sdc1","20969"
"Upp1",9.2946987497188e-296,1.10837579944432,0.671,0.139,3.00079349134672e-291,"M2-like 2","Upp1","up",741.45174323446,"Upp1","22271"
"Klk8",8.04833603442567e-281,0.760617848972276,0.383,0.036,2.59840528871433e-276,"M2-like 2","Klk8","up",482.656588068896,"Klk8","259277"
"Hp",1.61052562689211e-276,1.9525476474539,0.895,0.349,5.19958198642117e-272,"M2-like 2","Hp","up",1219.66780538287,"Hp","15439"
"Cav1",2.03359731231344e-269,1.39152808000997,0.669,0.155,6.56546892280396e-265,"M2-like 2","Cav1","up",846.471019736839,"Cav1","12389"
"9030624G23Rik",1.21216305094807e-252,1.72289131593574,0.645,0.151,3.91346840998585e-248,"M2-like 2","9030624G23Rik","up",981.491003175282,"9030624G23Rik","66808"
"Pcdh7",1.36457398214046e-251,1.50819976436361,0.64,0.142,4.40552710134048e-247,"M2-like 2","Pcdh7","up",855.534849816275,"Pcdh7","54216"
"Slpi",5.0651337536195e-250,1.9433580662563,0.862,0.334,1.63527843235606e-245,"M2-like 2","Slpi","up",1095.35732293374,"Slpi","20568"
"Arg1",3.25104627389124e-248,2.57748794129598,0.747,0.243,1.04960028952579e-243,"M2-like 2","Arg1","up",1442.05235588947,"Arg1","11846"
"Smpdl3b",1.33617637082726e-237,0.85278924312121,0.792,0.255,4.3138454132158e-233,"M2-like 2","Smpdl3b","up",456.276780436627,"Smpdl3b","100340"
"Egln3",2.26957726987529e-232,0.791942620442975,0.638,0.156,7.32733021579236e-228,"M2-like 2","Egln3","up",414.18424028275,"Egln3","112407"
"Gja1",4.55192358060617e-213,0.708998198686283,0.402,0.061,1.4695885279987e-208,"M2-like 2","Gja1","up",339.293014254329,"Gja1","14609"
"Il1a",8.75466427307175e-212,1.78938656230497,0.756,0.252,2.82644336056121e-207,"M2-like 2","Il1a","up",851.025261641542,"Il1a","16175"
"Wfdc21",4.24457888966301e-195,0.881663326348968,0.318,0.038,1.3703622945277e-190,"M2-like 2","Wfdc21","up",385.442127927397,"Wfdc21","66107"
"Slc7a11",1.32476028376558e-191,2.16042531135761,0.707,0.237,4.27698857613719e-187,"M2-like 2","Slc7a11","up",927.103666512666,"Slc7a11","26570"
"Prdx5",3.55258465406724e-185,1.29262664411995,0.985,0.898,1.14695195556561e-180,"M2-like 2","Prdx5","up",535.571682090763,"Prdx5","54683"
"Atp2b4",1.1068066279879e-183,1.08777184076883,0.806,0.321,3.57332519845893e-179,"M2-like 2","Atp2b4","up",446.953739568433,"Atp2b4","381290"
"Sod2",6.2050565737343e-183,1.157204067425,0.996,0.849,2.00330251483012e-178,"M2-like 2","Sod2","up",473.487806663916,"Sod2","20656"
"Cybb",1.72158299910059e-180,1.0055915939208,0.997,0.947,5.55813071259625e-176,"M2-like 2","Cybb","up",405.79614473249,"Cybb","13058"
"Gapdh",1.47160499376402e-178,1.0596697104915,0.992,0.931,4.75107672236715e-174,"M2-like 2","Gapdh","up",422.90510529094,"Gapdh","14433"
"Lrrk2",1.92902278625224e-176,0.847047590357725,0.529,0.135,6.22785006541535e-172,"M2-like 2","Lrrk2","up",333.919378140441,"Lrrk2","66725"
"Slc16a3",3.66122329010375e-175,0.92753975094956,0.961,0.614,1.18202593920999e-170,"M2-like 2","Slc16a3","up",362.920552281957,"Slc16a3","80879"
"Ero1a",1.25578651543558e-171,0.925403341494195,0.921,0.559,4.05430676508378e-167,"M2-like 2","Ero1a","up",354.551569009425,"Ero1a","50527"
"Rbpms",1.55970750046518e-171,0.927327500516584,0.891,0.456,5.03551566525183e-167,"M2-like 2","Rbpms","up",355.087790311694,"Rbpms","19663"
"Fam162a",5.72990558558125e-170,1.07308651710212,0.866,0.487,1.84990001830491e-165,"M2-like 2","Fam162a","up",407.033958513223,"Fam162a","70186"
"F10",1.90891061119094e-169,1.2137889598614,0.851,0.364,6.16291790822994e-165,"M2-like 2","F10","up",458.943303887949,"F10","14058"
"Pilra",5.62685055810721e-169,0.943250301836244,0.904,0.514,1.81662870268491e-164,"M2-like 2","Pilra","up",355.630805921208,"Pilra","231805"
"Fpr1",1.61249335542996e-168,0.992292058147185,0.884,0.425,5.20593479800562e-164,"M2-like 2","Fpr1","up",373.076169036554,"Fpr1","14293"
"Trem1",5.58430402500577e-166,0.639105476894121,0.548,0.144,1.80289255447311e-161,"M2-like 2","Trem1","up",236.550069896707,"Trem1","58217"
"Cd14",1.28885291572212e-164,1.11950717251249,0.986,0.871,4.16106163840887e-160,"M2-like 2","Cd14","up",410.845524294667,"Cd14","12475"
"Lgmn",3.67016631432066e-162,-1.45728940890395,0.895,0.942,1.18491319457843e-157,"M2-like 2","Lgmn","down",526.571402859739,"Lgmn","19141"
"Clec4e",7.75980580733295e-162,1.30713154785958,0.988,0.713,2.50525330489744e-157,"M2-like 2","Clec4e","up",471.33525747429,"Clec4e","56619"
"Pgk1",1.72751349355847e-159,0.978052763933658,0.981,0.822,5.57727731395352e-155,"M2-like 2","Pgk1","up",347.386725740966,"Pgk1","18655"
"Cpd",2.50351305514762e-158,1.04247754937377,0.967,0.698,8.08259189854408e-154,"M2-like 2","Cpd","up",367.482084334441,"Cpd","12874"
"Mcemp1",1.92392053728812e-156,0.628367228282664,0.705,0.248,6.2113774546347e-152,"M2-like 2","Mcemp1","up",218.776450916253,"Mcemp1","69189"
"Ceacam1",4.74183276211243e-156,0.859253996135838,0.713,0.285,1.530900707248e-151,"M2-like 2","Ceacam1","up",298.388403139331,"Ceacam1","26365"
"Slc7a2",1.08801373135713e-153,1.65535381394911,0.478,0.122,3.51265233168649e-149,"M2-like 2","Slc7a2","up",565.847620136558,"Slc7a2","11988"
"Cxcl3",9.45574968026375e-152,2.03550719624638,0.315,0.052,3.05278878427315e-147,"M2-like 2","Cxcl3","up",686.70675437421,"Cxcl3","330122"
"Sgms2",1.36775999097833e-150,0.934982472675718,0.857,0.422,4.41581313087354e-146,"M2-like 2","Sgms2","up",312.931370273099,"Sgms2","74442"
"Pgam1",6.44667607413017e-148,0.835031080555204,0.977,0.852,2.08130937053293e-143,"M2-like 2","Pgam1","up",274.338331468494,"Pgam1","18648"
"2510009E07Rik",9.611009246126e-148,0.727046277561431,0.868,0.465,3.10291433511178e-143,"M2-like 2","2510009E07Rik","up",238.571021775458,"2510009E07Rik","72190"
"Irak3",1.12569923495843e-147,0.90533800777921,0.974,0.714,3.63431998006328e-143,"M2-like 2","Irak3","up",296.932077420334,"Irak3","73914"
"Fpr2",1.55681311652934e-147,0.997607484928003,0.945,0.574,5.02617114671496e-143,"M2-like 2","Fpr2","up",326.871090257956,"Fpr2","14289"
